2026-04-20 18:16:57.608 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-04-20 18:16:57.671 [main] INFO  c.m.i.CraftStudioMesApplication - Starting CraftStudioMesApplication using Java 22.0.1 with PID 7112 (D:\work\craft\git\mes\craft-studio-mes\craftstudio-mes-interfaces\target\classes started by dada in D:\work\craft\git\mes\craft-studio-mes)
2026-04-20 18:16:57.672 [main] INFO  c.m.i.CraftStudioMesApplication - The following 1 profile is active: "dev"
2026-04-20 18:16:58.332 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-20 18:16:58.333 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-04-20 18:16:58.355 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 MongoDB repository interfaces.
2026-04-20 18:16:58.546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-20 18:16:58.549 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-20 18:16:58.571 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2026-04-20 18:16:59.285 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-04-20 18:16:59.299 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-20 18:16:59.302 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-20 18:16:59.302 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.15]
2026-04-20 18:16:59.354 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1628 ms
